RELA	CNT
is_abnormality_of_gene_product	27
gene_product_has_abnormality	27
specimen_of_excluded	28
endogenous_product_related_to	28
is_related_to_endogenous_product	28
possibly_replaced_by	28
has_excluded_specimen	28
abnormal_cell_affected_by_chemical_or_drug	28
chemical_or_drug_affects_abnormal_cell	28
possibly_replaces	28
chemical_or_drug_is_product_of_biological_process	32
gene_product_is_biomarker_of	32
biological_process_has_result_chemical_or_drug	32
is_marked_by_gene_product	32
has_subject	34
coating_material_of	34
is_subject_of	34
has_coating_material	34
anterosuperior_to	35
posteroinferior_to	35
disease_excludes_metastatic_anatomic_site	36
is_not_metastatic_anatomic_site_of_disease	36
has_possibly_included_approach	38
approach_of_possibly_included	38
anterolateral_to	39
biomarker_type_includes_gene	39
posteromedial_to	39
gene_is_biomarker_type	39
anteroinferior_to	41
posterosuperior_to	41
has_owning_subsection	42
owning_subsection_of	42
metabolic_site_of	43
continuation_branch_of	43
has_continuation_branch	43
site_of_metabolism	43
associated_procedure_of_excluded	45
has_excluded_associated_procedure	45
corresponds_to	46
partially_equivalent_to	48
transforms_from	50
transforms_into	50
has_possibly_included_associated_procedure	52
associated_procedure_of_possibly_included	52
posterolateral_to	53
anteromedial_to	53
reformulation_of	55
reformulated_to	55
pathology_of_excluded	61
has_excluded_pathology	61
anatomy_originated_from_biological_process	63
biological_process_has_result_anatomy	63
associated_function_of	64
has_associated_function	64
has_patient_type	66
patient_type_of	66
inverse_relative_to	72
relative_to	72
homonym_of	73
homonym_for	73
allele_has_activity	74
has_excluded_procedure_device	74
activity_of_allele	74
procedure_device_of_excluded	74
matures_into	76
matures_from	76
has_pharmacokinetics	79
pharmacokinetics_of	79
secondary_segmental_supply_of	80
has_secondary_segmental_supply	80
has_primary_segmental_supply	81
primary_segmental_supply_of	81
extended_to_by_process	82
process_extends_to	82
class_code_classified_by	93
classifies_class_code	93
biological_process_has_result_biological_process	95
biological_process_results_from_biological_process	95
kind_is_range_of	97
role_has_domain	97
role_has_range	97
kind_is_domain_of	97
chromosomal_location_of_allele	104
allele_in_chromosomal_location	104
uses_excluded_substance	105
version_of	105
neoplasm_has_special_category	105
substance_used_by_excluded	105
special_category_includes_neoplasm	105
has_version	105
completely_excised_anatomy_has_procedure	107
procedure_has_completely_excised_anatomy	107
has_projection	112
projects_from	112
chemical_or_drug_initiates_biological_process	115
biological_process_has_initiator_chemical_or_drug	115
receives_projection	117
projects_to	117
icdc_value_of	124
has_icdc_value	124
allele_plays_altered_role_in_process	128
process_altered_by_allele	128
panel_element_of	129
has_panel_element	129
venous_drainage_of	132
has_venous_drainage	132
icd_asterisk	138
surrounds	140
connected_to	140
surrounded_by	140
process_initiates_biological_process	142
biological_process_has_initiator_process	142
pathology_of_possibly_included	144
has_possibly_included_pathology	144
has_state_of_matter	148
has_count	148
count_of	148
state_of_matter_of	148
manufactures	154
manufactured_by	154
uses_possibly_included_substance	157
substance_used_by_possibly_included	157
may_be_diagnosed_by	157
may_diagnose	157
place_traveled_from	166
place_traveled_to	166
absorbability_of	167
has_property_type	167
has_absorbability	167
property_type_of	167
induces	169
induced_by	169
has_locale	173
locale_of	173
allele_has_abnormality	180
abnormality_associated_with_allele	180
has_ctdc_value	182
proximal_to	182
is_ctdc_value_of	182
distal_to	182
british_form_of	190
has_british_form	190
has_developmental_stage	193
developmental_stage_of	193
may_be_normal_cell_origin_of_disease	197
disease_may_have_normal_cell_origin	197
inc_parent_of	201
has_inc_parent	201
has_adjustment	203
adjustment_of	203
lateral_to	207
medial_to	207
insertion_of	213
has_insertion	213
episodicity_of	215
has_episodicity	215
time_modifier_of	229
has_time_modifier	229
procedure_has_partially_excised_anatomy	231
partially_excised_anatomy_has_procedure	231
recipient_category_of	236
has_recipient_category	236
associated_genetic_condition	243
associated_disease	243
method_of_excluded	247
has_excluded_method	247
has_indirect_device	248
indirect_device_of	248
physiologic_state_of	250
has_physiologic_state	250
related_object	252
drains_into	254
receives_drainage_from	254
answer_to_is_sterile	256
is_sterile	256
temporally_related_to	268
eo_disease_has_property_or_attribute	273
is_property_or_attribute_of_eo_disease	273
derives_from	274
derives	274
contraindicated_physiologic_effect_of	274
has_contraindicated_physiologic_effect	274
origin_of	277
has_origin	277
has_subject_of_information	283
subject_of_information_of	283
has_excluded_procedure_site	284
procedure_site_of_excluded	284
has_specimen_source_morphology	300
is_abnormality_of_gene	300
gene_has_abnormality	300
specimen_source_morphology_of	300
disease_mapped_to_chromosome	318
chromosome_mapped_to_disease	318
disease_has_metastatic_anatomic_site	318
is_metastatic_anatomic_site_of_disease	318
has_part_anatomy_structure	328
part_anatomy_structure_of	328
direct_site_of	330
has_direct_site	330
procedure_device_of_possibly_included	332
has_possibly_included_procedure_device	332
supported_concept_relationship_in	343
has_supported_concept_relationship	343
has_approach_guidance	349
is_approach_guidance_for	349
biomarker_type_includes_gene_product	353
gene_product_is_biomarker_type	353
has_pcdc_all_permissible_value	358
is_pcdc_all_permissible_value_for_variable	358
is_location_of_anatomic_structure	359
anatomic_structure_has_location	359
has_pcdc_data_type	367
pcdc_data_type_of	367
instrumentation_of	368
has_instrumentation	368
context_binding_of	370
has_context_binding	370
has_sign_or_symptom	377
sign_or_symptom_of	377
is_seronet_permissible_value_for_variable	381
has_seronet_permissible_value	381
dose_form_transformation_of	384
has_dose_form_transformation	384
is_paired_with_value_set	385
value_set_is_paired_with	385
basic_dose_form_of	388
has_basic_dose_form	388
supported_concept_property_in	390
has_supported_concept_property	390
has_dose_form_release_characteristic	400
dose_form_release_characteristic_of	400
disease_has_accepted_treatment_with_regimen	402
regimen_has_accepted_use_for_disease	402
is_maneuver_type_for	404
has_maneuver_type	404
icd_dagger	404
has_dose_form_administration_method	405
dose_form_administration_method_of	405
is_cytogenetic_abnormality_of_disease	406
disease_has_cytogenetic_abnormality	406
has_specimen_source_identity	420
specimen_source_identity_of	420
chemical_or_drug_affects_gene_product	427
gene_product_affected_by_chemical_or_drug	427
has_process_duration	435
process_duration_of	435
multiply_mapped_to	436
multiply_mapped_from	436
contraindicated_mechanism_of_action_of	447
has_contraindicated_mechanism_of_action	447
has_dose_form_intended_site	455
dose_form_intended_site_of	455
has_exam	467
is_exam_for	467
acted_on_by_process	468
process_acts_on	468
inferior_to	469
superior_to	469
has_process_output	469
process_output_of	469
inherent_location_of	470
has_inherent_location	470
compositional_material_of	474
has_compositional_material	474
has_object_guidance	476
is_object_guidance_for	476
has_pcdc_gct_permissible_value	486
is_pcdc_gct_permissible_value_for_variable	486
direct_left_of	487
direct_right_of	487
has_multi_level_category	491
has_single_level_category	491
attaches_to	500
receives_attachment_from	500
ddx	508
gene_product_malfunction_associated_with_disease	509
associated_with_malfunction_of_gene_product	509
has_pharmaceutical_release_characteristics	519
pharmaceutical_release_characteristics_of	519
has_expected_outcome	528
expected_outcome_of	528
has_actual_outcome	528
actual_outcome_of	528
procedure_has_excised_anatomy	534
excised_anatomy_has_procedure	534
has_pharmaceutical_transformation	536
pharmaceutical_transformation_of	536
anterior_to	545
posterior_to	545
pharmaceutical_intended_site_of	547
has_pharmaceutical_intended_site	547
has_pharmaceutical_administration_method	560
pharmaceutical_administration_method_of	560
biological_process_has_associated_location	563
is_location_of_biological_process	563
technique_of	567
has_technique	567
disease_excludes_cytogenetic_abnormality	588
is_not_cytogenetic_abnormality_of_disease	588
has_route_of_administration	594
route_of_administration_of	594
surgical_extent_of	602
has_surgical_extent	602
has_pharmaceutical_basic_dose_form	611
pharmaceutical_basic_dose_form_of	611
has_arterial_supply	632
arterial_supply_of	632
has_device_intended_site	634
device_intended_site_of	634
has_pharmaceutical_state_of_matter	635
pharmaceutical_state_of_matter_of	635
enzyme_metabolizes_chemical_or_drug	647
chemical_or_drug_is_metabolized_by_enzyme	647
is_pcdc_aml_permissible_value_for_variable	664
has_pcdc_aml_permissible_value	664
has_associated_observation	666
associated_observation_of	666
process_includes_biological_process	689
biological_process_is_part_of_process	689
articulates_with	692
has_at_risk_population	695
population_at_risk_for	695
complex_has_physical_part	700
gene_product_is_physical_part_of	700
has_associated_etiologic_finding	702
associated_etiologic_finding_of	702
has_segmental_supply	705
segmental_supply_of	705
cell_type_or_tissue_affected_by_chemical_or_drug	754
chemical_or_drug_affects_cell_type_or_tissue	754
has_lymphatic_drainage	764
lymphatic_drainage_of	764
has_pcdc_ews_permissible_value	782
is_pcdc_ews_permissible_value_for_variable	782
during	785
inverse_during	785
disease_excludes_molecular_abnormality	788
is_not_molecular_abnormality_of_disease	788
is_pcdc_hl_permissible_value_for_variable	797
has_pcdc_hl_permissible_value	797
modified_by	804
modifies	804
has_pcdc_os_permissible_value	805
is_pcdc_os_permissible_value_for_variable	805
gene_product_variant_of_gene_product	809
gene_product_has_gene_product_variant	809
risk_factor_of	810
has_risk_factor	810
sends_output_to	811
receives_input_from	811
efferent_to	823
afferent_to	823
adjectival_form_of	878
noun_form_of	878
device_characteristic_of	922
has_device_characteristic	922
alternative_of	942
has_alternative	942
uses_energy	973
energy_used_by	973
is_physical_location_of_gene	988
has_onset	988
onset_of	988
gene_has_physical_location	988
characterizes	1016
characterized_by	1016
has_presence_guidance	1028
target_anatomy_has_procedure	1028
procedure_has_target_anatomy	1028
is_presence_guidance_for	1028
has_possibly_included_method	1029
method_of_possibly_included	1029
is_dipg_dmg_permissible_value_for_variable	1059
has_dipg_dmg_permissible_value	1059
chromosome_involved_in_cytogenetic_abnormality	1074
cytogenetic_abnormality_involves_chromosome	1074
bounded_by	1080
bounds	1080
has_related_factor	1085
related_factor_of	1085
is_modality_subtype_for	1115
has_modality_subtype	1115
has_action_guidance	1156
is_action_guidance_for	1156
has_associated_condition	1161
associated_condition_of	1161
has_severity	1169
severity_of	1169
gene_involved_in_pathogenesis_of_disease	1196
pathogenesis_of_disease_involves_gene	1196
is_associated_disease_of	1206
disease_has_associated_disease	1206
inheres_in	1214
has_inherent_attribute	1214
has_possibly_included_procedure_site	1214
procedure_site_of_possibly_included	1214
exhibits	1272
exhibited_by	1272
has_extent	1305
extent_of	1305
has_diagnostic_criteria	1337
diagnostic_criteria_of	1337
has_archetype	1345
archetype_of	1345
uniquely_mapped_to	1348
uniquely_mapped_from	1348
scale_type_of	1375
has_scale_type	1375
is_organism_source_of_gene_product	1412
gene_product_has_organism_source	1412
may_be_abnormal_cell_of_disease	1454
disease_may_have_abnormal_cell	1454
default_mapped_to	1491
default_mapped_from	1491
product_monograph_title_of	1548
has_product_monograph_title	1548
wound_has_communication_with	1590
has_communication_with_wound	1590
has_realization	1605
realization_of	1605
disease_excludes_normal_tissue_origin	1627
is_not_normal_tissue_origin_of_disease	1627
disease_is_grade	1696
is_grade_of_disease	1696
tissue_is_expression_site_of_gene_product	1700
gene_product_expressed_in_tissue	1700
disease_has_molecular_abnormality	1731
is_molecular_abnormality_of_disease	1731
indirect_morphology_of	1808
has_indirect_morphology	1808
eo_disease_maps_to_human_disease	1816
human_disease_maps_to_eo_disease	1816
has_salt_form	1847
has_free_acid_or_base_form	1847
gene_product_has_chemical_classification	1880
is_chemical_classification_of_gene_product	1880
contraindicated_class_of	1892
has_contraindicated_class	1892
has_view_type	1941
is_view_type_for	1941
has_pharmaceutical_route	1948
continuous_proximally_with	1948
continuous_distally_with	1948
is_pharmaceutical_route_for	1948
specimen_procedure_of	2078
has_specimen_procedure	2078
surgical_approach_of	2092
has_surgical_approach	2092
priority_of	2093
has_priority	2093
gene_mutant_encodes_gene_product_sequence_variation	2099
gene_product_sequence_variation_encoded_by_gene_mutant	2099
specimen_substance_of	2125
has_specimen_substance	2125
nerve_supply_of	2133
has_nerve_supply	2133
disease_has_associated_gene	2157
gene_associated_with_disease	2157
disease_may_have_associated_disease	2189
may_be_associated_disease_of_disease	2189
has_defining_characteristic	2208
defining_characteristic_of	2208
consider	2220
consider_from	2220
procedure_morphology_of	2304
has_procedure_morphology	2304
measurement_method_of	2355
has_measurement_method	2355
is_given_pharmaceutical_substance_for	2441
has_given_pharmaceutical_substance	2441
is_modification_of	2461
has_modification	2461
continuous_with	2512
chemical_or_drug_has_physiologic_effect	2513
is_physiologic_effect_of_chemical_or_drug	2513
may_be_prevented_by	2582
may_prevent	2582
ssc	2606
chemical_or_drug_has_mechanism_of_action	2652
is_mechanism_of_action_of_chemical_or_drug	2652
pathology_of	2674
has_pathology	2674
has_timing_of	2740
is_timing_for	2740
finding_informer_of	2758
has_finding_informer	2758
refers_to	2842
referred_to_by	2842
life_circumstance_of	3013
has_life_circumstance	3013
has_concentration_strength_denominator_value	3059
concentration_strength_denominator_value_of	3059
concentration_strength_numerator_value_of	3063
has_concentration_strength_numerator_value	3063
eo_anatomy_is_associated_with_eo_disease	3128
eo_disease_has_associated_eo_anatomy	3128
see	3191
see_from	3191
has_form	3296
form_of	3296
has_access_instrument	3410
access_instrument_of	3410
structural_class_of	3443
has_structural_class	3443
specimen_source_topography_of	3535
has_specimen_source_topography	3535
has_aggregation_view	3568
is_aggregation_view_of	3568
related_part	3574
conceptual_part_of	3590
has_conceptual_part	3590
organism_has_gene	3650
gene_found_in_organism	3650
is_presence_of_lateral_location	3735
has_lateral_location_presence	3735
access_device_used_by	3739
uses_access_device	3739
has_lateral_anatomic_location	3753
is_lateral_anatomic_location_of	3753
related_to_genetic_biomarker	3756
genetic_biomarker_related_to	3756
has_concentration_strength_denominator_unit	3770
concentration_strength_denominator_unit_of	3770
temporally_follows	3778
temporally_followed_by	3778
concentration_strength_numerator_unit_of	3789
has_concentration_strength_numerator_unit	3789
has_procedure_device	3851
procedure_device_of	3851
has_sort_version	3926
sort_version_of	3926
has_approach	4008
approach_of	4008
gene_involved_in_molecular_abnormality	4023
molecular_abnormality_involves_gene	4023
ctcae_5_parent_of	4048
has_ctcae_5_parent	4048
has_revision_status	4135
revision_status_of	4135
is_chromosomal_location_of_gene	4169
gene_in_chromosomal_location	4169
has_lab_number	4204
lab_number_of	4204
has_target	4238
is_target	4238
mth_has_plain_text_form	4373
mth_has_xml_form	4373
mth_plain_text_form_of	4373
mth_xml_form_of	4373
has_tributary	4418
tributary_of	4418
mth_has_british_form	4446
mth_british_form_of	4446
related_to	4684
course_of	4816
has_course	4816
is_not_primary_anatomic_site_of_disease	4842
disease_excludes_primary_anatomic_site	4842
has_therapeutic_class	4985
therapeutic_class_of	4985
is_biochemical_function_of_gene_product	5239
gene_product_has_biochemical_function	5239
gene_product_has_structural_domain_or_motif	5565
is_structural_domain_or_motif_of_gene_product	5565
divisor_of	5663
has_divisor	5663
other_mapped_to	5751
other_mapped_from	5751
has_quantified_form	5753
quantified_form_of	5753
gene_product_has_associated_anatomy	5790
is_associated_anatomy_of_gene_product	5790
is_imaging_focus_of	5810
has_imaging_focus	5810
has_presentation_strength_denominator_value	6013
presentation_strength_denominator_value_of	6013
has_procedure_context	6016
procedure_context_of	6016
positively_regulated_by	6105
positively_regulates	6105
has_unit_of_presentation	6143
unit_of_presentation_of	6143
negatively_regulated_by	6144
negatively_regulates	6144
included_in	6171
includes	6171
has_measured_component	6305
measured_component_of	6305
has_modality_type	6344
is_modality_type_for	6344
is_stage_of_disease	6348
disease_is_stage	6348
gene_mapped_to_disease	6410
disease_mapped_to_gene	6410
has_add_on_code	6485
add_on_code_for	6485
contained_in	6505
contains	6505
presentation_strength_numerator_value_of	6689
has_presentation_strength_numerator_value	6689
has_imaged_location	6704
is_imaged_location_for	6704
is_not_normal_cell_origin_of_disease	6728
disease_excludes_normal_cell_origin	6728
parent_group_of	6855
has_parent_group	6855
has_inheritance_type	6907
inheritance_type_of	6907
mechanism_of_action_of	7064
has_mechanism_of_action	7064
regulated_by	7080
regulates	7080
presentation_strength_denominator_unit_of	7234
has_presentation_strength_denominator_unit	7234
associated_procedure_of	7298
has_associated_procedure	7298
has_presentation_strength_numerator_unit	7517
presentation_strength_numerator_unit_of	7517
uses	7663
used_by	7663
clinical_course_of	8214
has_clinical_course	8214
clinically_similar	9174
occurs_after	9760
occurs_before	9760
role_played_by	9973
plays_role	9973
access_of	10045
has_access	10045
has_physical_part_of_anatomic_structure	10081
anatomic_structure_is_physical_part_of	10081
has_consumer_friendly_form	10254
consumer_friendly_form_of	10254
has_disposition	10504
disposition_of	10504
may_be_cytogenetic_abnormality_of_disease	10867
disease_may_have_cytogenetic_abnormality	10867
has_precise_active_ingredient	10914
precise_active_ingredient_of	10914
definitional_manifestation_of	10976
has_definitional_manifestation	10976
disease_may_have_molecular_abnormality	11032
may_be_molecular_abnormality_of_disease	11032
has_precise_ingredient	11189
precise_ingredient_of	11189
physiologic_effect_of	11251
has_physiologic_effect	11251
has_basis_of_strength_substance	11252
basis_of_strength_substance_of	11252
contraindicated_with_disease	11297
has_contraindicated_drug	11297
has_ingredients	11496
ingredients_of	11496
finding_context_of	11737
has_finding_context	11737
has_evaluation	12157
evaluation_of	12157
uses_substance	12437
substance_used_by	12437
is_component_of_chemotherapy_regimen	12499
chemotherapy_regimen_has_component	12499
use	13074
used_for	13074
has_gdc_value	13712
is_value_for_gdc_property	13712
co-occurs_with	13768
device_used_by	13885
uses_device	13885
pathway_has_gene_element	14034
gene_is_element_in_pathway	14034
gene_product_is_element_in_pathway	14160
has_gene_product_element	14160
may_be_treated_by	14589
may_treat	14589
has_associated_finding	14709
associated_finding_of	14709
has_count_of_base_of_active_ingredient	14953
count_of_base_of_active_ingredient_of	14953
prev_symbol_of	15283
has_prev_symbol	15283
has_entire_anatomy_structure	15338
entire_anatomy_structure_of	15338
specimen_of	16150
has_specimen	16150
entry_version_of	16163
has_entry_version	16163
branch_of	17424
has_branch	17424
primary_mapped_to	17430
primary_mapped_from	17430
disease_may_have_finding	17537
may_be_finding_of_disease	17537
temporal_context_of	17779
has_temporal_context	17779
challenge_of	17840
has_challenge	17840
has_focus	18130
focus_of	18130
replaced_by	19293
replaces	19293
direct_device_of	19387
has_direct_device	19387
has_subject_relationship_context	19504
subject_relationship_context_of	19504
parent_of	20260
has_parent	20260
gene_encodes_gene_product	20398
gene_product_encoded_by_gene	20398
constitutional_part_of	21492
has_constitutional_part	21492
is_normal_cell_origin_of_disease	21730
disease_has_normal_cell_origin	21730
is_not_abnormal_cell_of_disease	21768
disease_excludes_abnormal_cell	21768
supersystem_of	22322
has_supersystem	22322
inverse_was_a	22641
was_a	22641
disease_has_normal_tissue_origin	22667
is_normal_tissue_origin_of_disease	22667
moved_to	22762
moved_from	22762
has_suffix	22970
suffix_of	22970
biological_process_involves_gene_product	23950
gene_product_plays_role_in_biological_process	23950
has_specialty	23995
specialty_of	23995
cause_of	24393
due_to	24393
direct_substance_of	26587
has_direct_substance	26587
has_intent	27077
intent_of	27077
has_clinician_form	27209
clinician_form_of	27209
has_location	27589
location_of	27589
regional_part_of	27672
has_regional_part	27672
disease_excludes_finding	28618
is_not_finding_of_disease	28618
has_interpretation	28870
interpretation_of	28870
has_print_name	28877
print_name_of	28877
is_primary_anatomic_site_of_disease	29471
disease_has_primary_anatomic_site	29471
clinically_associated_with	29632
direct_morphology_of	30608
has_direct_morphology	30608
indirect_procedure_site_of	30846
has_indirect_procedure_site	30846
has_allelic_variant	32607
allelic_variant_of	32607
has_prev_name	33209
prev_name_of	33209
has_phenotype	33857
phenotype_of	33857
has_mapping_qualifier	35222
mapping_qualifier_of	35222
doseformgroup_of	35244
has_doseformgroup	35244
do_not_code_with	38034
loinc_number_of	40137
has_loinc_number	40137
gene_plays_role_in_process	42457
process_involves_gene	42457
is_associated_anatomic_site_of	42601
disease_has_associated_anatomic_site	42601
is_finding_of_disease	44305
disease_has_finding	44305
finding_method_of	47867
has_finding_method	47867
has_occurrence	49182
occurs_in	49182
is_abnormal_cell_of_disease	57378
disease_has_abnormal_cell	57378
pathological_process_of	60915
has_pathological_process	60915
has_default_inpatient_classification	72775
default_outpatient_classification_of	72775
default_inpatient_classification_of	72775
has_default_outpatient_classification	72775
analyzes	78102
analyzed_by	78102
alias_of	78779
has_alias	78779
measured_by	88183
measures	88183
causative_agent_of	95337
has_causative_agent	95337
common_name_of	99079
has_scale	99079
scale_of	99079
has_common_name	99079
has_answer	100135
answer_to	100135
has_time_aspect	100172
time_aspect_of	100172
property_of	101060
has_property	101060
interprets	103824
is_interpreted_by	103824
direct_procedure_site_of	104108
has_direct_procedure_site	104108
has_tradename	108715
tradename_of	108715
consists_of	110101
constitutes	110101
mth_expanded_form_of	114074
mth_has_expanded_form	114074
has_part	114878
part_of	114878
possibly_equivalent_to	117330
laterality_of	122914
has_laterality	122914
has_manifestation	125855
manifestation_of	125855
has_permuted_term	129276
permuted_term_of	129276
procedure_site_of	149167
has_procedure_site	149167
associated_with	149180
member_of	157413
has_member	157413
dose_form_of	160232
has_dose_form	160232
has_system	164697
system_of	164697
same_as	233048
class_of	262612
has_class	262612
classifies	269373
classified_as	269373
concept_in_subset	324512
subset_includes_concept	324512
has_ingredient	331004
ingredient_of	331004
associated_morphology_of	335197
has_associated_morphology	335197
has_component	336048
component_of	336048
active_moiety_of	348990
has_active_moiety	348990
has_method	370440
method_of	370440
has_active_ingredient	425335
active_ingredient_of	425335
expanded_form_of	495898
has_expanded_form	495898
finding_site_of	505508
has_finding_site	505508
mapped_to	809391
mapped_from	809391
has_inactive_ingredient	1611877
inactive_ingredient_of	1611877
inverse_isa	2657599
isa	2657599
NULL	11185694
