CUI1	STR1	RELA	STR2	CUI2
C0371960	Total or near total esophagectomy, without thoracotomy; with pharyngogastrostomy or cervical esophagogastrostomy, with or without pyloroplasty (transhiatal)	approach_of_excluded	Transthoracic approach	C0205503
C0489921	Closed treatment of ankle dislocation; requiring anesthesia, with or without percutaneous skeletal fixation	approach_of_possibly_included	Percutaneous	C0522523
C5220928	TelavancinSusc&#x7C;Isolate	archetype_of	Telavancin:Susc:Pt:Isolate:OrdQn	C4695278
C0030274	Pancreas	arterial_supply_of	Great pancreatic artery	C0734090
C0503046	Right eighth rib	articulates_with	Bone structure of T8	C0459953
C1268633	At risk for perioperative positioning injury	associated_condition_of	Paresis	C0030552
C0024305	Lymphoma, Non-Hodgkin	associated_disease	Ataxia Telangiectasia	C0004135
C0342203	Congenital iodine deficiency syndrome of neurological type	associated_etiologic_finding_of	Iodine deficiency	C4759669
C1313937	Family history of diabetes mellitus	associated_finding_of	Diabetes Mellitus	C0011849
C0374220	Prescription of optical and physical characteristics of and fitting of contact lens, with medical supervision of adaptation; corneal lens, both eyes, except for aphakia	associated_finding_of_excluded	Aphakia	C0003534
C0371768	Exploration for postoperative hemorrhage, thrombosis or infection; chest	associated_finding_of_possibly_included	Postoperative Hemorrhage	C0032788
C0436824	O/E - heart sounds diminished	associated_function_of	Heart Sounds	C0018820
C0005859	Bloom Syndrome	associated_genetic_condition	cervical cancer	C4048328
C2227724	abdominal x-ray, AP view: hepatic calcification	associated_morphology_of	Pathologic calcification, calcified structure	C2242558
C2238074	blood osmotic fragility slight hemolysis (% NaCl)	associated_observation_of	Erythrocyte osmotic fragility	C1563090
C0564995	Lung adhesions freed	associated_procedure_of	Lung adhesions freed	C0564995
C0002921	Local anesthesia	associated_procedure_of_excluded	Removal of sutures under anesthesia (other than local), same surgeon	C0370549
C0017118	Gastrectomy	associated_procedure_of_possibly_included	Anesthesia for intraperitoneal procedures in upper abdomen including laparoscopy; gastric restrictive procedure for morbid obesity	C0973232
C0071315	Pneumovax	associated_with	Immunization	C0020971
C1701032	ITGAM protein, human	associated_with_malfunction_of_gene_product	Leukocyte adhesion deficiency type 1	C0398738
C0225936	Structure of cusp of pulmonic valve	attaches_to	Structure of anulus fibrosus of pulmonary artery	C0225935
C1720057	Tablet for Oral Suspension	basic_dose_form_of	Tablet Dosage Form	C0039225
C0687971	baclofen 10 MG Oral Tablet	basis_of_strength_substance_of	baclofen	C0004609
C0022671	Kidney Transplantation	before	Pre-existing disease in renal transplant	C0456361
C0007603	Plasma membrane	biological_process_has_associated_location	G Protein-Coupled Receptor Signaling	C1517377
C0026249	Mitogens	biological_process_has_initiator_chemical_or_drug	Negative Regulation of G0 to G1 Transition	C1517338
C1326082	Granulocyte differentiation	biological_process_has_initiator_process	Granulocyte differentiation	C1326082
C0005773	Blood Cells	biological_process_has_result_anatomy	Hematopoiesis Inhibition	C1512383
C0012899	DNA Repair	biological_process_has_result_biological_process	DNA Intrastrand Crosslinking	C1511675
C0035668	RNA	biological_process_has_result_chemical_or_drug	Transcription Initiation	C1158830
C0016004	Fibrin Tissue Adhesive	biological_process_involves_chemical_or_drug	Wound Healing	C0043240
C3274808	TFG/NTRK1 Fusion Protein	biological_process_involves_gene_product	Signal Transduction	C0037083
C0683140	Drug Metabolism	biological_process_is_part_of_process	Drug Transport Process	C1154689
C1512644	Leukocyte Apoptotic Process	biological_process_results_from_biological_process	Thymic T-Cell Selection	C1515433
C1704875	S100A8 wt Allele	biomarker_type_includes_gene	Disease Marker	C1511983
C1568288	MMP16 protein, human	biomarker_type_includes_gene_product	Metastasis and Aggressiveness Marker	C1513179
C0927907	Occlusal surface layer of right second upper molar tooth	bounded_by	Occlusal surface layer of right second upper molar tooth	C0927907
C0927801	Mesial surface layer of right first upper premolar tooth	bounds	Mesial surface layer of right first upper premolar tooth	C0927801
C0003484	Abdominal aorta structure	branch_of	Superior mesenteric artery structure	C0162861
C0011991	Diarrhea	british_form_of	Diarrhea	C0011991
C2133963	exposure to sulfites dust	causative_agent_of	Sulfites	C0038750
C0342132	Hyperthyroidism due to ectopic thyroid tissue	cause_of	Ectopic thyroid tissue (disorder)	C0266283
C1513634	Mouse Melanocytic Neoplasms of Uncertain Malignant Potential	cell_type_is_associated_with_eo_disease	Skin - Melanocyte (MMHCC)	C1522074
C3641654	eflapegrastim	cell_type_or_tissue_affected_by_chemical_or_drug	Hematopoietic stem cells	C0018956
C0797323	Glucose^5.5H post 75 g glucose PO:MCnc:Pt:Ser/Plas:Qn	challenge_of	post 75 g glucose PO	C1979577
C0428897	Jugular venous pressure	characterized_by	heart process	C2256369
C2256369	heart process	characterizes	Ambulatory post-hyperemic venous pressure	C0474743
C1513095	Melanoma Cell	chemical_or_drug_affects_abnormal_cell	gp100 cDNA/Gold Complex	C1515641
C0039195	Cytotoxic T-Lymphocytes	chemical_or_drug_affects_cell_type_or_tissue	pBCAR3/pIRS2-Phosphopeptide-tetanus Peptide Vaccine	C3828631
C5441744	EPOR protein, human	chemical_or_drug_affects_gene_product	epoetin alfa	C0357126
C1511665	DNA Crosslinking	chemical_or_drug_has_mechanism_of_action	ProLindac	C2745883
C1326205	Positive Regulation of Apoptosis	chemical_or_drug_has_physiologic_effect	zoledronic acid	C0257685
C1512818	Intercellular Communication Induction	chemical_or_drug_initiates_biological_process	Signaling Molecule	C1519315
C0535996	CYP3A5 protein, human	chemical_or_drug_is_metabolized_by_enzyme	nisoldipine	C0028116
C0035380	Reverse Transcription	chemical_or_drug_is_product_of_biological_process	DNA	C0012854
C1707216	CYP2D6*1 Allele	chemical_or_drug_metabolism_is_associated_with_allele	Antipsychotic Agents	C0040615
C0043240	Wound Healing	chemical_or_drug_plays_role_in_biological_process	Fibrin Tissue Adhesive	C0016004
C0010583	cyclophosphamide	chemotherapy_regimen_has_component	Cyclophosphamide/Interleukin-1-Alpha	C0281229
C1707179	CYP2C19*12 Allele	chromosomal_location_of_allele	10q24.1-q24.3	C1520290
C1707227	CYP2D6*5 Allele	chromosomal_location_of_wild-type_gene	22q13.1	C1521114
C1515717	t(12;21)(p13.2;q22.1)	chromosome_involved_in_cytogenetic_abnormality	Chromosomes, Human, Pair 12	C0008654
C1333987	Hereditary Glomangioma	chromosome_mapped_to_disease	Chromosomes, Human, Pair 1	C0008651
C0038436	Post-Traumatic Stress Disorder	classified_as	Prolonged post-traumatic stress disorder	C0154593
C0085594	Fever with chills	classifies	Fever	C0015967
C1552562	act - Verification	classifies_class_code	act observation verification	C3244108
C1698332	CertifiedEntityType	class_code_classified_by	qualified entity	C1554213
C0489371	S wave amplitude.lead V3:Elpot:Pt:Heart:Qn:EKG	class_of	Electrocardiogram measures	C1315022
C0038454	Cerebrovascular accident	clinically_associated_with	Neurogenic Urinary Bladder	C0005697
C1321756	Achalasia	clinically_similar	Esophageal Achalasia	C0014848
C2584975	Acute injury of anterior cruciate ligament	clinical_course_of	Sudden onset AND/OR short duration	C1828128
C0202386	Fluoride measurement	clinician_form_of	Fluoride measurement	C0202386
C0038454	Cerebrovascular accident	co-occurs_with	Hemiparesis	C0018989
C1274069	Nelaton antimicrobial-coated pediatric length urethral catheter	coating_material_of	Anti-Infective Agents	C0003204
C2706718	R wave duration.lead AVR:Time:Pt:Heart:Qn:EKG	common_name_of	R wave duration.lead AVR:Time:Pt:Heart:Qn:EKG	C2706718
C0024883	Modified radical mastectomy	completely_excised_anatomy_has_procedure	Nipples	C0028109
C1710089	single lung transplantation	completely_excised_anatomy_may_have_procedure	Right lung	C0225706
C0530993	antigen CYFRA21.1	complex_has_physical_part	KRT19 protein, human	C4082253
C0436158	Hormone radioassay - pancreas	component_of	Hormones	C0019932
C0373964	Blood typing, serologic; RBC antigens, other than ABO or Rh (D), each	component_of_excluded	Antigen in Rh blood group system	C0302050
C1144666	Measurement of post-voiding residual urine and/or bladder capacity by ultrasound, non-imaging	component_of_possibly_included	Residual urine volume	C0429774
C4273940	Polymer coated metal duodenal stent	compositional_material_of	Metals	C0025552
C0975389	cefprozil 50 MG/ML Oral Suspension	concentration_strength_denominator_unit_of	milliliter	C0439242
C0787030	cisapride 1 MG/ML Oral Suspension	concentration_strength_denominator_value_of	One	C0205447
C0975243	carbamazepine 20 MG/ML Oral Suspension	concentration_strength_numerator_unit_of	milligram	C0439210
C1319714	Cimetidine 40 MG/ML Oral Solution	concentration_strength_numerator_value_of	Forty	C3816449
C1533685	Injection procedure	conceptual_part_of	injection volume	C0941280
C1880653	FDA Established Names and Unique Ingredient Identifier Codes Terminology	concept_in_subset	ethaverine hydrochloride	C0770146
C4243595	Temporal part of frontal bone	connected_to	Structure of sphenofrontal suture of skull	C0224533
C1183437	Myotendinous junction plate	connection_type_of	Myotendinous Junction	C0584646
C1150240	serine-type carboxypeptidase activity	consider	vacuolar carboxypeptidase Y	C1325415
C1325405	thioredoxin activity	consider_from	disulfide oxidoreductase activity	C1151047
C0982951	acetaminophen 32 MG/ML	consists_of	acetaminophen 32 MG/ML / phenyltoloxamine citrate 1 MG/ML Oral Solution	C2356361
C0694264	diphtheria toxoid vaccine, inactivated 13.2 UNT/ML / tetanus toxoid vaccine, inactivated 10 UNT/ML Injectable Suspension	constitutes	tetanus toxoid vaccine, inactivated 10 UNT/ML	C2344325
C0223537	Fourth lumbar vertebra	constitutional_part_of	Vasculature of fourth lumbar vertebra	C2334835
C0202386	Fluoride measurement	consumer_friendly_form_of	Fluoride measurement	C0202386
C0689572	{14 (methylprednisolone 16 MG Oral Tablet) } Pack	contained_in	methylprednisolone 16 MG Oral Tablet	C1123025
C1123025	methylprednisolone 16 MG Oral Tablet	contains	{14 (methylprednisolone 16 MG Oral Tablet) } Pack	C0689572
C1553741	AcknowledgementCondition - CodeSystem	context_binding_of	AcknowledgementCondition - CodeSystem	C1553741
C0932823	Trunk of right thoracodorsal nerve	continuation_branch_of	Posterior cord of right brachial nerve plexus	C0835830
C1180688	Apical ramus of right posterior segmental bronchus	continuous_distally_with	Structure of right upper lobe posterior segmental bronchus	C1261060
C1744588	Posterior fasciculus of brachial plexus	continuous_proximally_with	Trunk of radial nerve	C0935404
C0225902	Posterior papillary muscle of left ventricle	continuous_with	Inferior wall of left ventricle	C0504056
C0206135	Platinum Compounds, Inorganic	contraindicated_class_of	edetic acid	C0013618
C2757025	Adrenergic Agonists [MoA]	contraindicated_mechanism_of_action_of	furazolidone	C0016855
C1371959	Decreased Striated Muscle Contraction	contraindicated_physiologic_effect_of	polymyxin B sulfate	C0001714
C0019360	Herpes zoster disease	contraindicated_with_disease	corticotropin	C0001655
C4242672	Carnegie stage 18	corresponds_to	Embryonic day 44	C4323904
C1831363	Bacteria identified^^^8:Prid:Pt:Wound.shlw:Nom:Aerobic culture	count_of	Eight	C0205454
C5395963	Human papillomavirus 6, 11, 16 and 18 antigens only vaccine product	count_of_active_ingredient_of	Four	C0205450
C0973924	alendronic acid 70 MG Oral Tablet	count_of_base_of_active_ingredient_of	One	C0205447
C1290070	Chronic contact mucositis	course_of	chronic	C0205191
C4553096	Duodenal Infection, CTCAE	ctcae_5_parent_of	Infections and Infestations, CTCAE	C4552814
C0008658	Chromosomes, Human, Pair 16	cytogenetic_abnormality_involves_chromosome	Loss of Chromosome 16	C1517961
C3540597	CDISC SDTM Microbial Identification Certainty Terminology	data_element_of	Microbial Identification Certainty	C3540598
C0038454	Cerebrovascular accident	ddx	Craniocerebral Trauma	C0018674
C0153428	Malignant neoplasm of ileum	default_inpatient_classification_of	Gastrointestinal cancers - small intestine	C5225772
C0154135	Neoplasm of unspecified nature of other specified sites	default_mapped_from	[X]Neoplasms of uncertain and unknown behaviour	C0694450
C0694450	[X]Neoplasms of uncertain and unknown behaviour	default_mapped_to	Neoplasm of unspecified nature of other specified sites	C0154135
C0153426	Malignant neoplasm of duodenum	default_outpatient_classification_of	Gastrointestinal cancers - small intestine	C5225772
C4060580	Ineffective family health management	defining_characteristic_of	Failure to take action to reduce risk factor	C4063011
C0268759	SLE glomerulonephritis syndrome, WHO class VI	definitional_manifestation_of	Immune System Finding	C1291764
C0941036	Type of bleeding of duodenal ulcer	degree_of	Type IA: spurting arterial bleeding of duodenal ulcer	C0941037
C3645626	SNOMED CT core	dependent_of	US National Library of Medicine maintained module	C3645708
C0231000	Structure of exocelomic membrane	derives	Hypoblast	C1512561
C0231002	Structure of extraembryonic mesoblast	derives_from	Mesoderm layer of secondary yolk sac membrane	C4254518
C0230966	Chorionic cavity	developmental_stage_of	Carnegie stage 5c	C4247992
C0026573	Morula (Embryonic Structure)	development_type_of	Gestational transformation	C4244165
C1183495	Ectodermal cell	develops_from	Macroglial cell	C2336790
C2336790	Macroglial cell	develops_into	Ectodermal cell	C1183495
C5395728	Bioabsorbable multi-purpose collagen surgical mesh	device_characteristic_of	Bioabsorbable	C5395723
C5396153	Eyelid massager	device_intended_site_of	Eyelid structure	C0015426
C0188926	Reduction of closed talus fracture with manipulation and percutaneous pinning	device_used_by	Medical pins	C0175718
C0005558	Biopsy	diagnosed_by	biopsied lesion	C0940828
C0940828	biopsied lesion	diagnoses	Biopsy	C0005558
C2874659	Other stimulant dependence with stimulant-induced sleep disorder	diagnostic_criteria_of	Amphetamine (or other stimulant)-induced sleep disorder, With moderate or severe use disorder	C4236979
C1183867	Epithelium of main duct of prostatic gland	direct_cell_shape_of	Microvillus columnar	C1182676
C0204862	Checking of splint	direct_device_of	Splint Device	C0038009
C2327081	Zone 5 of circumflex branch of left coronary artery	direct_left_of	Zone 4 of circumflex branch of left coronary artery	C2340033
C0197737	Extracapsular extraction of cataract by inferior temporal route	direct_morphology_of	Cataract	C0086543
C0185522	Periosteotomy of facial bone	direct_procedure_site_of	Periosteum	C0031110
C0225870	Ventricular septum	direct_right_of	Wall of right ventricle	C0504035
C0456193	Direct left atrial pressure - x trough	direct_site_of	Left atrial structure	C0225860
C0199832	Immunization for canine leptospirosis	direct_substance_of	Vaccine, immunoglobulin, AND/OR antiserum	C1630493
C1518246	Malignant Stromal Cell	disease_excludes_abnormal_cell	Ampulla of Vater Signet Ring Cell Carcinoma	C1332249
C4287950	t(10;17)(q22;p13)	disease_excludes_cytogenetic_abnormality	Uterine Corpus Tumor Resembling Ovarian Sex Cord Tumor	C4288046
C1881876	Mixed Neoplastic Glandular and Squamous Cell Population	disease_excludes_finding	Gallbladder Flat Biliary Intraepithelial Neoplasia	C1708173
C0030274	Pancreas	disease_excludes_metastatic_anatomic_site	Locally Advanced Unresectable Pancreatic Adenocarcinoma	C4744358
C1518782	PDGFRA Gene Mutation	disease_excludes_molecular_abnormality	Chronic eosinophilic leukemia	C0346421
C0032112	Plasma Cells	disease_excludes_normal_cell_origin	Hodgkin's lymphoma of small intestine	C1335998
C0014609	Epithelium	disease_excludes_normal_tissue_origin	Vaginal Botryoid-Type Embryonal Rhabdomyosarcoma	C1511275
C0005682	Urinary Bladder	disease_excludes_primary_anatomic_site	Bronchial adenoma	C0149845
C1513973	Neoplastic Glandular Cell	disease_has_abnormal_cell	Endometrial Endometrioid Adenocarcinoma with Spindled Epithelial Cells	C1336913
C1883664	Mini-BEAM Regimen	disease_has_accepted_treatment_with_regimen	Refractory Hodgkin Lymphoma	C0855082
C0012240	Gastrointestinal system	disease_has_associated_anatomic_site	tubulovillous adenoma of stomach	C1333793
C0348374	Malignant Central Nervous System Neoplasm	disease_has_associated_disease	Turcot Syndrome Type 2	C1519703
C1421516	WNT6 gene	disease_has_associated_gene	Carcinoma, Ovarian Epithelial	C4721610
C1512572	Hypotriploidy	disease_has_cytogenetic_abnormality	Testicular Yolk Sac Tumor, Solid Pattern	C1515312
C1707292	Carcinomatous Component Present	disease_has_finding	ENSAT Stage II Adrenal Cortex Carcinoma	C3641710
C0020629	hypopharynx	disease_has_metastatic_anatomic_site	Secondary malignant neoplasm of hypopharynx	C0684964
C1515562	MYC Gene Amplification	disease_has_molecular_abnormality	Stage I Adult Burkitt Lymphoma	C0279963
C1512385	Hematopoietic and Lymphoid Cell	disease_has_normal_cell_origin	Cyclic neutropenia	C0221023
C0014609	Epithelium	disease_has_normal_tissue_origin	Cardiac Paraganglioma	C1332851
C0012240	Gastrointestinal system	disease_has_primary_anatomic_site	Chemical Gastritis	C2830012
C0475269	Tumor grade G1	disease_is_grade	Pancreatic Intraepithelial Neoplasia-1	C1333869
C0919425	CYP1A1 gene	disease_is_marked_by_gene	Carcinoma of lung	C0684249
C0441766	Stage level 1	disease_is_stage	Mucoepidermoid carcinoma of the oral cavity stage I	C0280346
C0008654	Chromosomes, Human, Pair 12	disease_mapped_to_chromosome	Chronic lymphocytic leukaemia stage 1	C0278767
C0079419	TP53 gene	disease_mapped_to_gene	Cervical Mucinous Adenocarcinoma, Signet Ring Cell-Type	C1516424
C1512107	Dysplastic Neutrophil	disease_may_have_abnormal_cell	Acute Megakaryocytic Leukemias	C0023462
C0476089	Endometrial Carcinoma	disease_may_have_associated_disease	Carcinoma, Ovarian Epithelial	C4721610
C1517989	Loss of Chromosome 7	disease_may_have_cytogenetic_abnormality	Adult Oligodendroglial Tumor	C1541567
C1511605	Cystic Change	disease_may_have_finding	Stage IVC Thyroid Gland Papillary Carcinoma AJCC v7	C3897506
C1517998	Loss of E-cadherin Expression	disease_may_have_molecular_abnormality	Adenoid cystic carcinoma of the oral cavity stage II	C0280352
C1514186	Pluripotent Bone Marrow Stem Cell	disease_may_have_normal_cell_origin	Myeloproliferative Neoplasm, Unclassifiable	C1333046
C1881790	Mesonephric Remnants	disease_may_have_normal_tissue_origin	Mesonephric-like adenocarcinoma	C5548439
C4287815	brigatinib	disposition_of	Protein-tyrosine kinase inhibitor (disposition)	C4521478
C1184015	Distal part of prostatic urethra	distal_to	Membranous urethra structure	C0458453
C0798197	Amylase.S2/Amylase.total:CFr:Pt:Ser/Plas:Qn	divisor_of	Amylase.total	C1441356
C3205675	dichlorphenamide Pill	doseformgroup_of	Pills	C0994475
C0991534	Oral Cream	dose_form_administration_method_of	Apply (administration method)	C4521676
C1707970	Prolonged-release oral coated capsule	dose_form_intended_site_of	Oral (intended site)	C4521986
C2355881	diphtheria toxoid vaccine, inactivated / tetanus toxoid vaccine, inactivated Injectable Suspension	dose_form_of	Injectable Suspension	C0991512
C1707973	Extended Release Film Coated Capsule Dosage Form	dose_form_release_characteristic_of	Prolonged-release	C4544856
C1272866	Powder for rectal suspension	dose_form_transformation_of	Disperse	C4545472
C0370248	Anesthesia for reconstructive procedures of eyelid (eg, blepharoplasty, ptosis surgery)	do_not_code_with	Irrigation of implanted venous access device for drug delivery systems	C1609555
C0458293	Intestinal lymphatic trunk	drains_into	Inferior para-aortic lymph node group	C4254817
C0026703	Mucopolysaccharidoses	due_to	Cerebral degeneration in mucopolysaccharidosis	C0342838
C0543467	Operative Surgical Procedures	during	Injury of bladder during surgery	C4517366
C0010620	cyproheptadine	effect_may_be_inhibited_by	fluoxetine	C0016365
C1183684	Pectoral axillary lymphatic chain	efferent_to	Lymphatic tree of skin of breast	C2333369
C1522428	Recombinant Interleukin-1	endogenous_product_related_to	Interleukin-1	C0021755
C1155829	meiotic telophase I	ends_during	meiosis I	C1155812
C0475093	Thyroid tumor/metastasis irradiation	energy_used_by	Radiation	C0851346
C0040748	Transplanted skin	entire_anatomy_structure_of	Entire transplanted skin	C4512116
C0031760	Photoreceptors	entry_version_of	Photoreceptors	C0031760
C0724693	sildenafil citrate	enzyme_metabolizes_chemical_or_drug	cytochrome P450 3A4 protein, human	C1142644
C1883114	Squamous Cell Hyperplasia of the Rat Esophagus	eo_anatomy_is_associated_with_eo_disease	Rat Preputial Gland	C1882831
C1522074	Skin - Melanocyte (MMHCC)	eo_disease_has_associated_cell_type	Mouse Melanoma	C1522102
C1511956	Mouse Digestive System	eo_disease_has_associated_eo_anatomy	Erosion of the Mouse Intestinal Tract	C1516957
C0205183	Benign	eo_disease_has_property_or_attribute	Mouse Benign Melanocytic Neoplasms	C1522100
C0031347	Pharyngeal Neoplasms	eo_disease_maps_to_human_disease	Non-Keratinizing Carcinoma of the Mouse Pharynx With Lymphoid Stroma	C1518364
C2108072	continuous electrocardiogram atrial premature depolarization frequent	episodicity_of	Ongoing episode	C0580798
C1533685	Injection procedure	evaluation_of	Injected material	C0940886
C1709883	Regional Lymph Node Dissection	excised_anatomy_has_procedure	lymph nodes	C0024204
C0024884	Mastectomy, Radical	excised_anatomy_may_have_procedure	Axillary lymph node group	C0729594
C0033384	Procollagen-Proline Dioxygenase	exhibited_by	prolyl 4-hydroxylase activity	C1622631
C1622631	prolyl 4-hydroxylase activity	exhibits	Procollagen-Proline Dioxygenase	C0033384
C1965719	Comprehensive prolonged new home visit 180 minutes homeopathic intake	expanded_form_of	Comprehensive prolonged new home visit 180 minutes homeopathic intake	C1965719
C0011991	Diarrhea	expected_outcome_of	Improved	C0184511
C1272790	Status of venous (large vessel)/lymphatic (small vessel) invasion by tumor	extended_to_by_process	Structure of lymphatic vessel and/or small blood vessel	C5548423
C0400038	Other specified total excision of colon	extent_of	Total	C0439810
C0227963	Structure of capsule of prostate	external_to	Neurovascular bundle of prostate	C0836251
C4708703	Saline-filled smooth breast implant	filling_of	sodium chloride	C0037494
C1313937	Family history of diabetes mellitus	finding_context_of	Known present	C1444639
C2586046	On examination - left red reflex	finding_informer_of	Performer of method	C1689969
C2119739	x-ray of elbow: bony overgrowth	finding_method_of	Radiography of elbow	C0411904
C2228423	examination of anterior tonsillar pillar	finding_site_of	Faucial pillar	C0229872
C0186560	Injection procedure for shoulder arthrography	focus_of	Radiographic imaging procedure	C1962945
C4242577	Right medial nasal process	formed_by	Primordium of septum of nose	C4251481
C4251480	Primordium of dorsum of nose	forms	Left medial nasal process	C4242578
C2343853	fesoterodine	form_of	fesoterodine fumarate	C2343854
C0231024	Neural tube	full_grown_phenotype_of	Central Nervous System	C3714787
C4242570	Right nasal pit	fuses_with	Left nasal pit	C4242571
C4242702	Right palatal shelf	fusion_of	Embryonic secondary palate	C4242704
C0268287	Deficiency of steroid 21-monooxygenase	genetic_biomarker_related_to	CYP21A2 gene	C1413861
C0020517	Hypersensitivity	gene_associated_with_disease	XRCC2 wt Allele	C1710689
C1430023	TRIM29 protein, human	gene_encodes_gene_product	Transcription Regulation Gene	C1710463
C0086418	Homo sapiens	gene_found_in_organism	HLA-DQB1 gene	C1415572
C1515757	t(2;5)(p23;q35)	gene_has_abnormality	NPM1/ALK Fusion Gene	C4551875
C1520713	17: 29621353-29623369	gene_has_physical_location	CCL7 wt Allele	C1704902
C1707138	COL1A1-PDGFbeta Fusion Protein Expression	gene_involved_in_molecular_abnormality	COL1A1 gene	C1332772
C0279651	Gallbladder adenocarcinoma	gene_involved_in_pathogenesis_of_disease	KRAS gene	C1537502
C1520792	17q25.3	gene_in_chromosomal_location	GALR2 wt Allele	C1708116
C0600139	Prostate carcinoma	gene_is_biomarker_of	KLK15 wt Allele	C1705548
C1511876	Diagnostic Factor	gene_is_biomarker_type	MME wt Allele	C1706431
C2984263	T Cell Receptor Signaling Pathway KEGG	gene_is_element_in_pathway	IL4 wt Allele	C1708435
C2217035	Stage IIA Colon Cancer AJCC v7	gene_mapped_to_disease	TP53 gene	C0079419
C3274263	EGFR NP_005219.2:p.S752_I759del	gene_mutant_encodes_gene_product_sequence_variation	EGFR NM_005228.3:c.2254_2277del24	C3274264
C1515126	T-Cell Development	gene_plays_role_in_process	ATM gene	C0919524
C0040845	tretinoin	gene_product_affected_by_chemical_or_drug	Retinoic Acid Receptor	C0140278
